,movie name,meter_score,audience_score
450,percy jackson: sea of monsters,70,83%
451,a good day to die hard,14,40%
452,warm bodies,81,73%
453,jack the giant slayer,51,55%
454,the purge,38,36%
455,last vegas,46,59%
456,ender's game,46,59%
457,prisoners,,87%
458,after earth,11,36%
459,the secret life of walter mitty,51,70%
460,escape from planet earth,,20%
461,12 years a slave,95,90%
462,free birds,,
463,hansel & gretel: witch hunters,,
464,evil dead,,
465,red 2,43,63%
466,a madea christmas,43,63%
467,temptation: confessions of a marriage counselor,43,63%
468,the call,43,63%
469,pain & gain,43,63%
470,gangster squad,43,63%
471,the internship,35,51%
472,instructions not included,35,51%
473,snitch,35,51%
474,riddick,57,56%
475,a haunted house,10,51%
476,47 ronin,14,48%
477,august: osage county,14,48%
478,philomena,91,89%
479,the family,91,89%
480,walking with dinosaurs 3d,23,41%
481,carrie,49,44%
482,texas chainsaw 3d,49,44%
483,r.i.p.d.,49,44%
484,blue jasmine,91,77%
485,side effects,11,30%
486,scary movie 5,4,38%
487,the mortal instruments: city of bones,4,38%
488,delivery man,39,47%
489,grudge match,30,46%
490,kick-ass 2,30,46%
491,oculus,74,53%
492,dallas buyers club,74,53%
493,rush,,
494,the host,,
495,the world's end,,
496,21 & over,,
497,her,94,82%
498,escape plan,51,55%
499,don jon,80,58%
500,the incredible burt wonderstone,37,33%
501,the big wedding,7,41%
502,baggage claim,16,49%
503,the way way back,84,84%
504,the book thief,46,73%
505,homefront,42,61%
506,broken city,28,40%
507,beautiful creatures,37,32%
508,runner runner,7,33%
509,admission,39,32%
510,nebraska,91,83%
511,parker,,
512,enough said,,
513,dark skies,,
514,the counselor,34,23%
515,begin again,,80%
516,jobs,28,40%
517,fruitvale station,94,87%
518,about time,68,81%
519,the last exorcism part ii,68,81%
520,labor day,68,81%
521,inside llewyn davis,93,74%
522,singam 2,,65%
523,the last stand,,65%
524,out of the furnace,54,52%
525,dead man down,38,47%
526,belle,38,47%
527,getaway,2,35%
528,peeples,37,49%
529,battle of the year,6,49%
530,movie 43,4,24%
531,legends of oz: dorothy's return,4,24%
532,mandela: long walk to freedom,4,24%
533,before midnight,4,24%
534,dhoom 3,80,49%
535,machete kills,29,34%
536,bad words,66,61%
537,paranoia,,
538,the green inferno,36,30%
539,black nativity,51,51%
540,the spectacular now,92,76%
541,the grandmaster,78,58%
542,all is lost,94,63%
543,the bling ring,,31%
544,pulling strings,58,71%
545,closed circuit,58,71%
546,chennai express,58,71%
547,kaze tachinu,88,85%
548,snowpiercer,94,72%
549,the railway man,66,68%
550,the lunchbox,96,86%
551,yeh jawaani hai deewani,,63%
552,ida,,38%
553,fading gigolo,53,41%
554,what if,,
555,the to do list,54,46%
556,metallica through the never,79,73%
557,the grand seduction,60,66%
558,the fifth estate,37,36%
559,in a world...,37,36%
560,home run,,
561,the great beauty,90,80%
562,goliyon ki rasleela ram-leela,90,80%
563,under the skin,87,62%
564,dragon ball z: doragon bôru z - kami to kami,87,62%
565,grace unplugged,50,79%
566,i'm in love with a church girl,50,79%
567,trance,,50%
568,the east,,50%
569,le week-end,,50%
570,the christmas candle,21,75%
571,blue is the warmest color,90,85%
572,oldboy,80,94%
573,krrish 3,73,51%
574,words and pictures,42,50%
575,austenland,42,50%
576,the oscar nominated short films 2013: live action,42,50%
577,the saratov approach,60,86%
578,gloria,60,86%
579,the immigrant,60,86%
580,only lovers left alive,84,75%
581,stoker,84,75%
582,bhaag milkha bhaag,87,84%
583,race 2,,42%
584,"bless me, ultima",,42%
585,the tale of the princess kaguya,100,90%
586,out of order,,
587,queen,97,76%
588,i'm so excited!,97,76%
589,locke,90,72%
590,gimme shelter,100,91%
591,le passé,100,91%
592,the ultimate life,18,56%
593,the kings of summer,76,77%
594,the invisible woman,,27%
595,repentance,,27%
596,romeo & juliet,,27%
597,kai po che!,,27%
598,the 100 year-old man who climbed out the window and disappeared,,27%
599,special 26,100,80%
600,kill your darlings,,38%
601,third person,24,34%
602,stalingrad,24,34%
603,short term 12,98,93%
604,enemy,98,93%
605,raanjhanaa,,63%
606,nymphomaniac: vol. i,,63%
607,only god forgives,40,37%
608,palo alto,70,49%
609,satyagraha,70,49%
610,alone yet not alone,,62%
611,bereullin,,62%
612,parkland,50,47%
613,house of good and evil,,52%
614,the attorney,73,87%
615,the lost medallion: the adventures of billy stone,73,87%
616,dom hemingway,57,38%
617,gwansang,57,38%
618,tracks,,42%
619,besharam,20,17%
620,phantom,20,17%
621,the inevitable defeat of mister & pete,20,17%
622,sinsegye,20,17%
623,upstream color,86,69%
624,in secret,41,34%
625,the german doctor,73,63%
626,the torn poster let out a hero,73,63%
627,ain't them bodies saints,73,63%
628,si ren ding zhi,,52%
629,gekijouban mahou shojo madoka magika shinpen: hangyaku no monogatari,,52%
630,lootera,,78%
631,joe,80,62%
632,shootout at wadala,,43%
633,grand fun,,43%
634,walking with the enemy,46,59%
635,lovelace,53,36%
636,omar,89,83%
637,drinking buddies,89,83%
638,venus in fur,88,71%
639,casse-tête chinois,88,71%
640,diana,88,71%
641,nymphomaniac: vol. ii,88,71%
642,gori tere pyaar mein!,88,71%
643,camp,64,68%
644,l'inconnu du lac,64,68%
645,jimi: all is by my side,64,68%
646,not today,50,83%
647,adoration,62,48%
648,elle s'en va,62,48%
649,the face of love,42,32%
650,viaggio sola,66,48%
651,the love punch,27,31%
652,l'écume des jours,27,31%
653,go goa gone,60,49%
654,innocence,60,49%
655,"like father, like son",60,49%
656,brave man,60,49%
657,the last of robin hood,30,24%
658,life of crime,67,37%
659,blue ruin,96,79%
660,night moves,82,71%
661,the attacks of 26/11,82,71%
662,gibsonburg,82,71%
663,singh saab the great,,54%
664,the zero theorem,51,43%
665,the suspect,51,43%
666,prince avalanche,82,53%
667,ghanchakkar,82,53%
668,the double,82,53%
669,crystal fairy y el cactus mágico,82,53%
670,la danza de la realidad,93,83%
671,vi är bäst!,93,83%
672,drishyam,,97%
673,afternoon delight,,97%
674,a.c.o.d.,,97%
675,copperhead,,
676,escape from tomorrow,54,25%
677,"cinco de mayo, la batalla",54,25%
678,horns,40,49%
679,on the job,93,89%
680,il capitale umano,82,77%
681,inappropriate comedy,0,23%
682,alan partridge: alpha papa,0,23%
683,snake & mongoose,0,23%
684,mother of george,0,23%
685,tangerines,88,89%
686,rangeelay,,0%
687,the congress,73,53%
688,redwood highway,82,53%
689,o menino e o mundo,95,77%
690,europa report,81,57%
691,stereotype,81,57%
692,fukrey,,56%
693,make your move,38,48%
694,afflicted,,34%
695,the liberator,,34%
696,gekijouban ano hi mita hana no namae wo bokutachi wa mada shiranai.,,34%
697,computer chess,,34%
698,"guten tag, ramón",,34%
699,man of tai chi,71,50%
