,Name,Genre,Rating,Votes,BoxOffice,Year
243,Les saveurs du Palais,"Biography, Comedy",6.4,5288,"212,072",2012
244,My Uncle Rafael,Comedy,5.8,182,"210,156",2012
245,Vettai,Action,6,2139,"202,581",2012
246,Tim and Eric's Billion Dollar Movie,Comedy,5.4,8834,"200,803",2012
247,Any Day Now,Drama,7.5,5358,"200,002",2012
248,Puella Magi Madoka Magica the Movie Part 1: Beginnings,"Animation, Drama, Fantasy",7.7,989,"180,440",2012
249,Tere Naal Love Ho Gaya,"Comedy, Drama, Romance",5.8,3689,"177,472",2012
250,Populaire,"Comedy, Romance, Sport",6.9,10448,"175,256",2012
251,The Broken Circle Breakdown,"Drama, Music, Romance",7.8,35431,"175,058",2012
252,Evangerion shin gekijôban: Kyu,"Animation, Action, Drama",7,7750,"174,945",2012
253,Purgatorio,"Adventure, Drama, Fantasy",8.4,16,"171,060",2012
254,Vicky Donor,"Comedy, Romance",7.8,33753,"169,209",2012
255,Deadtime,"Horror, Thriller",2.2,248,"156,072",2012
256,"Syngué sabour, pierre de patience","Drama, War",7.1,3981,"148,408",2012
257,A Coffee in Berlin,"Comedy, Drama",7.4,13222,"146,135",2012
258,From Beneath,Thriller,4.1,804,"144,123",2012
259,John Dies at the End,"Comedy, Horror, Sci-Fi",6.4,33809,"141,307",2012
260,Luv Shuv Tey Chicken Khurana,Comedy,6.6,3247,"140,035",2012
261,Midnight's Children,Drama,6.2,2622,"139,644",2012
262,LUV,"Crime, Drama",6,1949,"138,634",2012
263,Joker,"Comedy, Family, Sci-Fi",2.6,4416,"127,954",2012
264,Du zhan,"Action, Crime, Drama",7,8274,"127,877",2012
265,Lost and Found in Armenia,Comedy,6.5,1495,"120,480",2012
266,Down by the River,Drama,6.3,37,"120,000",2012
267,Bel Ami,"Drama, History, Romance",5.4,16807,"119,919",2012
268,Cowgirls 'n Angels,"Adventure, Drama, Family",6.2,1336,"119,782",2012
269,Yossi,"Drama, Romance",7,2579,"116,207",2012
270,Just 45 Minutes from Broadway,Drama,4.9,38,"115,771",2012
271,The Obama Effect,"Comedy, Drama",2,373,"110,251",2012
272,Beyond the Hills,Drama,7.6,10389,"109,248",2012
273,The Artist and the Model,Drama,6.7,1393,"107,300",2012
274,Augustine,"Drama, History",6,1231,"107,114",2012
275,Hello I Must Be Going,"Comedy, Drama, Romance",6.2,5365,"106,709",2012
276,Upside Down,"Drama, Fantasy, Romance",6.4,65143,"102,118",2012
277,The Magic of Belle Isle,"Comedy, Drama",7,15829,"100,910",2012
278,V/H/S,"Horror, Thriller",5.8,51720,"99,770",2012
279,Shadow Dancer,"Drama, Thriller",6.2,11248,"99,134",2012
280,Gimme the Loot,"Comedy, Crime, Drama",6.6,2210,"97,768",2012
281,Hardflip,"Action, Drama",5.6,668,"96,734",2012
282,Le capital,Drama,6.5,4629,"95,272",2012
283,Passion,"Drama, Mystery, Thriller",5.3,19579,"91,186",2012
284,Starlet,Drama,6.8,6051,"87,910",2012
285,Byzantium,"Drama, Fantasy, Horror",6.5,37183,"84,293",2012
286,Somebody Up There Likes Me,"Comedy, Romance",5.8,1386,"83,796",2012
287,Museum Hours,Drama,6.9,1760,"83,725",2012
288,Foreign Letters,"Comedy, Drama",6.9,176,"80,000",2012
289,Stuck in Love,"Comedy, Drama, Romance",7.3,77307,"78,950",2012
290,Middle of Nowhere,Drama,6.4,1369,"78,030",2012
291,Fetih 1453,"Action, Drama, History",7.1,54146,"73,882",2012
292,No One Lives,"Horror, Thriller",6,16228,"72,140",2012
293,"Farewell, My Queen","Drama, History, Romance",6.3,7329,"72,100",2012
294,Something in the Air,Drama,6.4,3737,"71,921",2012
295,Rebelle,"Drama, War",7.1,6556,"70,544",2012
296,Mugamoodi,"Action, Adventure",5,811,"68,677",2012
297,An Oversimplification of Her Beauty,"Animation, Comedy, Drama",6.2,541,"65,975",2012
298,Deadfall,"Crime, Drama, Thriller",6.3,35887,"65,804",2012
299,Una noche,"Drama, Romance",6.8,1702,"65,233",2012
300,Puella Magi Madoka Magica the Movie Part 2: Eternal,"Animation, Fantasy, Mystery",8,957,"62,340",2012
301,Dom över död man,"Biography, Drama",6.1,582,"62,297",2012
302,Backwards,"Romance, Sport",5.5,647,"61,465",2012
303,Lost Woods,"Action, Sci-Fi, Thriller",2.3,217,"58,240",2012
304,Ren zai jiong tu: Tai jiong,"Adventure, Comedy, Drama",6.3,2491,"57,387",2012
305,Reality,"Comedy, Drama",6.8,4414,"55,261",2012
306,Wi-heom-han gyan-gye,"Drama, Mystery, Romance",5.9,1662,"54,000",2012
307,Red Lights,"Drama, Fantasy, Horror",6.2,54269,"52,624",2012
308,Hua pi 2,"Fantasy, Mystery, Romance",6.3,2815,"50,425",2012
309,The Discoverers,Comedy,5.6,456,"50,020",2012
310,LOL,"Comedy, Drama, Romance",4.4,50381,"46,500",2012
311,Jewtopia,"Comedy, Romance",4.4,1315,"45,660",2012
312,Wish You Were Here,"Drama, Mystery",5.9,4812,"45,267",2012
313,Wrong,"Comedy, Mystery",6.3,8299,"45,209",2012
314,Jack London's Love of Life,"Adventure, Drama, History",7.2,322,"44,000",2012
315,Zaytoun,"Adventure, Drama, Thriller",6.6,1438,"42,286",2012
316,The Comedy,"Comedy, Drama",6.5,4134,"41,113",2012
